환생표사 8,S000200014169,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 5,S000200014068,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 2,S000200013526,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 4,S000200013634,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 세트,S000200015567,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 7,S000200014126,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 1,S000200013481,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 6,S000200014101,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
환생표사 3,S000200013570,내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는…….
데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,S000061776717,"4년차 공시생,낯선 몸에 빙의해 3년 전으로 돌아왔다.그리고 그의 눈앞에 나타난 갑작스러운 상태창의 협박![돌발!][상태이상 : '데뷔가 아니면 죽음을' 발생!]돌연사 위협 때문에팔자에도 없던 아이돌에 도전하게 된주인공의 대환장 일지.※특이사항 : 빙의 전 아이돌 데이터 찍어다 팔았었음"
데뷔 못 하면 죽는 병 걸림 1부 초판 세트,S000061776716,"4년차 공시생,낯선 몸에 빙의해 3년 전으로 돌아왔다.그리고 그의 눈앞에 나타난 갑작스러운 상태창의 협박![돌발!][상태이상 : '데뷔가 아니면 죽음을' 발생!]돌연사 위협 때문에팔자에도 없던 아이돌에 도전하게 된주인공의 대환장 일지.※특이사항 : 빙의 전 아이돌 데이터 찍어다 팔았었음"
